portfolio_id,stock_symbol,stock_name,quantity,stock_sector,purchase_price
PF-REA-0001,DLR,Digital Realty Trust,58,Real Estate,47.27
PF-ENE-0001,XOM,Exxon Mobil Corporation,126,Energy,342.58
PF-MAT-0001,IP,International Paper Co.,53,Materials,1018.28
PF-UTI-0001,AEP,American Electric Power,45,Utilities,889.83
PF-TEC-0001,NVDA,NVIDIA Corporation,16,Technology,149.61
PF-FIN-0001,MS,Morgan Stanley,259,Finance,907.01
PF-UTI-0002,SRE,Sempra Energy,102,Utilities,1076.87
PF-MAT-0002,NEM,Newmont Corporation,280,Materials,635.08
PF-IND-0001,HON,Honeywell International,302,Industrials,424.5
PF-TEC-0002,AAPL,Apple Inc.,389,Technology,1210.67
PF-MAT-0003,NEM,Newmont Corporation,217,Materials,516.97
PF-HEA-0001,MRK,Merck & Co. Inc.,111,Healthcare,1436.25
PF-ENE-0002,OXY,Occidental Petroleum,53,Energy,148.19
PF-TEC-0003,CSCO,Cisco Systems Inc.,184,Technology,1272.77
PF-REA-0002,CCI,Crown Castle Inc.,136,Real Estate,1212.62
PF-MAT-0004,MLM,Martin Marietta Materials,236,Materials,808.98
PF-CON-0001,WMT,Walmart Inc.,41,Consumer Goods,832.54
PF-REA-0003,O,Realty Income Corporation,317,Real Estate,1329.32
PF-CON-0002,KO,The Coca-Cola Company,296,Consumer Goods,296.51
PF-TEC-0004,CRM,Salesforce Inc.,24,Technology,995.28
PF-COM-0001,NFLX,Netflix Inc.,149,Communication,1477.98
PF-FIN-0002,MS,Morgan Stanley,444,Finance,160.49
PF-ENE-0003,XOM,Exxon Mobil Corporation,233,Energy,957.17
PF-CON-0003,KO,The Coca-Cola Company,84,Consumer Goods,561.57
PF-FIN-0003,BAC,Bank of America Corp.,344,Finance,407.8
PF-MAT-0005,SHW,Sherwin-Williams Company,332,Materials,116.39
PF-REA-0004,DLR,Digital Realty Trust,88,Real Estate,805.87
PF-FIN-0004,AXP,American Express Company,84,Finance,698.77
PF-FIN-0005,CB,Chubb Limited,474,Finance,963.6
PF-UTI-0003,SRE,Sempra Energy,113,Utilities,1030.08
PF-COM-0002,NFLX,Netflix Inc.,398,Communication,93.35
PF-TEC-0005,NVDA,NVIDIA Corporation,413,Technology,480.03
PF-FIN-0006,CB,Chubb Limited,34,Finance,324.36
PF-UTI-0004,PCG,PG&E Corporation,449,Utilities,1079.69
PF-FIN-0007,WFC,Wells Fargo & Company,336,Finance,753.85
PF-REA-0005,WELL,Welltower Inc.,235,Real Estate,222.88
PF-HEA-0002,UNH,UnitedHealth Group,127,Healthcare,1120.03
PF-UTI-0005,D,Dominion Energy Inc.,135,Utilities,1123.05
PF-CON-0004,TGT,Target Corporation,460,Consumer Goods,879.46
PF-CON-0005,KO,The Coca-Cola Company,113,Consumer Goods,1496.02
PF-HEA-0003,UNH,UnitedHealth Group,261,Healthcare,745.34
PF-COM-0003,VZ,Verizon Communications,25,Communication,1293.04
